"ID","Producer","EntryPipe","EntryAnonymization","ExitAnonymization","ExitPipe","Consumer"
"63e3a7bd-ac94-4e56-96df-092c684d7b66","1693481776272","1693481778025","1693481778357","1693481778851","1693481778851","1693481779102"
"0ab78cb2-443c-4099-b840-3ba3bbc5c6d5","1693481776432","1693481778564","1693481778725","1693481778851","1693481778851","1693481779102"
"b86cd2c4-2586-41de-a9ea-dadc3d59122a","1693481776060","1693481777085","1693481777463","1693481778851","1693481778851","1693481779102"
"489506de-c2e5-4b06-b2c4-caa3fef8a63a","1693481776378","1693481778469","1693481778553","1693481778851","1693481778851","1693481779102"
"56855dac-c799-4ad0-a401-30a3576c5214","1693481775742","1693481776051","1693481776438","1693481778851","1693481778851","1693481779102"
"f170f883-b0f3-45e9-a464-8a65ab93c8a3","1693481776325","1693481778361","1693481778454","1693481778851","1693481778851","1693481779102"
"003eb2d0-1171-4d55-994d-d7baca9b6e04","1693481776007","1693481776506","1693481777058","1693481778851","1693481778851","1693481779102"
"edcd5cc6-a8f7-40a4-9b47-01362d95b6b8","1693481776166","1693481777738","1693481777876","1693481778851","1693481778851","1693481779102"
"9016b351-446a-4553-a6e9-64ff8186e331","1693481776114","1693481777486","1693481777720","1693481778851","1693481778851","1693481779102"
"be1a10aa-8cc6-48a1-8b58-1dd96efb6e4b","1693481776219","1693481777883","1693481778018","1693481778851","1693481778851","1693481779102"
"1071d4cb-ad39-494b-9905-230936632d9a","1693481776485","1693481778743","1693481778848","1693481778851","1693481778851","1693481779102"
"285485bb-5c60-4911-b4af-c90cf1755737","1693481776960","1693481780241","1693481780535","1693481780722","1693481780722","1693481780909"
"3eb64f81-2d62-48ef-b03d-45965f5046c7","1693481776854","1693481779886","1693481780017","1693481780722","1693481780722","1693481780909"
"150fcb2a-3738-40e3-a5d0-ed0b11cd63f9","1693481776749","1693481779601","1693481779741","1693481780722","1693481780722","1693481780909"
"8019551a-f419-4893-b646-bfd2866475d8","1693481777066","1693481780633","1693481780721","1693481780722","1693481780722","1693481780909"
"1248c855-d2e1-446b-9946-f12350ffb3c5","1693481776801","1693481779747","1693481779881","1693481780722","1693481780722","1693481780909"
"ee38dc43-4ea7-4ed8-9c46-03324be616f5","1693481776591","1693481779137","1693481779292","1693481780722","1693481780722","1693481780909"
"ac8399fd-86fe-43bc-ab93-ba2c3d7f258a","1693481776696","1693481779464","1693481779595","1693481780722","1693481780722","1693481780909"
"25adaf42-0eaa-417f-b151-f733915cfffa","1693481776644","1693481779299","1693481779454","1693481780722","1693481780722","1693481780909"
"95c0346c-1c3d-43f7-a770-7f857ab2c93b","1693481776907","1693481780026","1693481780212","1693481780722","1693481780722","1693481780909"
"9fe463ae-bfc3-493a-a44f-24f0773c63ab","1693481777013","1693481780541","1693481780625","1693481780722","1693481780722","1693481780909"
"1739304e-fb6a-430e-aef4-2c40c2cd9fc0","1693481776538","1693481778931","1693481779131","1693481780722","1693481780722","1693481780909"
"07ef3b2d-e749-48be-a12d-bddffcb4cdae","1693481777435","1693481781457","1693481781539","1693481782168","1693481782168","1693481782353"
"0e8ea24d-a360-4943-80ab-c875208e51db","1693481777171","1693481780871","1693481780956","1693481782168","1693481782168","1693481782353"
"adcd56fd-272c-4edb-aea9-c65c1359faae","1693481777593","1693481781731","1693481782036","1693481782168","1693481782168","1693481782353"
"fefe7d8b-5034-4e60-8681-9036016aff88","1693481777118","1693481780779","1693481780863","1693481782168","1693481782168","1693481782353"
